job_date,job_name,company_name,company_content,job_content,job_address,job_url,company_url
1/16                ,軟體專案管理PM(主管職 / 儲備幹部),普匯金融科技股份有限公司," 月薪35,000元以上 員工30人 距捷運松江南京站約90公尺 ","關經驗
3. 具導入資安認證經驗（ISO27001）
4. 具測試腳本程式撰寫經驗
5. 具Python、PHP相關開發經驗

【福利制度】
｜基本款｜
*勞保、健保、勞退等基本規範
*每人有舒適的工作環境
*完善業務獎金制度

｜特別款
三節都會","
台北市中山區

經歷不拘 
專科 ",https://www.104.com.tw/job/7ql5g?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bkhzg?jobsource=2018indexpoc
10/07                ,數據處理專員實習生｜吃什麼數位科技股份有限公司(桃園青年職場搖籃計畫),桃園市政府青年事務局_111年桃園青年職場搖籃計畫, 時薪176元 距捷運環北站約470公尺 ,": 打造全台最大的美食平台。https://www.whatseat.com.tw/

【工作內容】
餐飲數據庫基本建設
1. 系統更新 (熟悉Python程式語言)
2. 每周固定抓取數據/整理數據 (熟悉Excel文書處理)
3. 官網更新維護","
桃園市中壢區

經歷不拘 
大學 ",https://www.104.com.tw/job/7oeek?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bm3wg?jobsource=2018indexpoc
1/17                ,資訊系統開發工程師(平鎮廠),敬鵬工業股份有限公司," 月薪28,900~45,000元 上市上櫃 員工3300人 ","用工具 : 主修 : Powerbuilder , .NET (C#) , Node.js, Python, R, Android APP 
5.資料庫     :  Sybase , MSSQL, , InfluxDB, MongoDB,","
桃園市平鎮區

經歷不拘 
大學 ",https://www.104.com.tw/job/7q9mv?jobsource=2018indexpoc,https://www.104.com.tw/company/k4myeg0?jobsource=2018indexpoc
1/18                ,[徵求講師]ROS機器人領域課程講師 (兼職可),艾鍗科技有限公司," 時薪1,000~1,600元 員工12人 距捷運台大醫院站約310公尺 ","
可先參考此課程進行課程內容規劃之全部或部份：
https://reurl.cc/9OWjW8
以上可以規劃自己較為熟悉的主題上課 . 並且在實作上可以使用任何軟體框架及程式語言即使你是素人講師,沒有教學經驗亦可。

Note:
* 平日時段/兼職可
*鐘點費個別面議
*彈性排課

[儲備講師]
即使你是素人講師,沒有教學經驗亦可，只要你/妳有一股教學的熱忱，
也歡迎來參加報名 2022艾鍗儲備講師計劃 https://bit.ly/2FCUaDi","
台北市中正區

經歷不拘 
專科 ",https://www.104.com.tw/job/7jcvd?jobsource=2018indexpoc,https://www.104.com.tw/company/ddy4oio?jobsource=2018indexpoc
1/19                ,財務會計人員,臺北農產運銷股份有限公司," 月薪37,000元以上 員工600人 ","應用(具CCNA證照者尤佳)。
2.	具備MS-SQL資料庫（一年以上）維護及管理維護、資料備援有操作經驗。
3.	資訊設備(機房/網路/主機...)架構規劃經驗。
    (三) 熟SQL/VB.NET/C#/Python等語言
四、【工作待遇】","
台北市中山區

經歷不拘 
大學 ",https://www.104.com.tw/job/7ivag?jobsource=2018indexpoc,https://www.104.com.tw/company/2391fw8?jobsource=2018indexpoc
1/12                ,自動控制研發工程師,迅得機械股份有限公司, 待遇面議 上市上櫃 員工890人 ,"1-自動化控制與工廠自全自動設備軟體開發。
2-自動控制系統與機械手臂整合。
3-各種網路通訊協議軟體開發與資料庫整合。
4-對於自動控制, 影像處理整合與軟體開發有興趣者佳。","
桃園市中壢區

經歷不拘 
碩士 ",https://www.104.com.tw/job/7usl1?jobsource=2018indexpoc,https://www.104.com.tw/company/wi4quiw?jobsource=2018indexpoc
1/16                ,工研院南分院_專案工程師(台北/D200),工研院 _財團法人工業技術研究院, 待遇面議 員工6000人 距捷運善導寺站約480公尺 ,"1. 專案所需之管理工作(包含專案排程與人員等管理工作) 
2. 計畫履約管理，穩健產出計畫品質 
3. 軟、硬體系統整合開發 
4. 依場域需求，評估並執行對應系統之解決方案","
台北市中山區

經歷不拘 
碩士 ",https://www.104.com.tw/job/7uozg?jobsource=2018indexpoc,https://www.104.com.tw/company/19huomw?jobsource=2018indexpoc
1/17                ,《天下雜誌》編輯部長期工讀生,天下雜誌股份有限公司, 時薪180元 員工600人 距捷運松江南京站約260公尺 ,"1. 協助財經週報與書摘撰寫，翻譯經濟學人文章。
2. 協助專題報導文字與數據資料蒐集分析工作。
3. 協助開發新專題報導的研究工作。
4. 協助整理與歸檔數據或文字資料。","
台北市中山區

經歷不拘 
碩士 ",https://www.104.com.tw/job/7urys?jobsource=2018indexpoc,https://www.104.com.tw/company/a4hvxa0?jobsource=2018indexpoc
1/01                ,網頁後端軟體開發工程師,多利曼股份有限公司," 月薪45,000~65,000元 員工20人 遠端工作 距捷運台北車站約390公尺 ","工作內容
1. 運用 Python 開發 API 及相關整合應用  
2. 與其他夥伴協作，完成 API 開發、串接、撰寫技術文件等工作


必要能力：
1. 熟悉 SQL 資料庫系統語法與 NoSQL、RDB 關聯式資料庫運用場景。
2. 熟悉","
台北市中山區

經歷不拘 
高中 ",https://www.104.com.tw/job/7uhbp?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blzg6?jobsource=2018indexpoc
1/01                ,資深網頁後端軟體開發工程師,多利曼股份有限公司," 月薪65,000~80,000元 員工20人 遠端工作 距捷運台北車站約390公尺 ","工作內容：
1. 運用 Python 開發 API 及相關整合應用  
2. 與其他夥伴協作，完成 API 開發、串接、撰寫技術文件等工作

必要能力：
1. 熟悉 SQL 資料庫系統語法與 NoSQL、RDB 關聯式資料庫運用場景。
2. 熟悉","
台北市中山區

經歷不拘 
高中 ",https://www.104.com.tw/job/7uhc5?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blzg6?jobsource=2018indexpoc
